country_KR,city_EN,city_KR
앤티가 바부다,Barbuda,바부다
오스트레일리아,Barcaldine,바컬딘
스페인,Barcelona,바르셀로나
브라질,Barcelos,바르셀루스
노르웨이,Bardufoss,바르두포스
인도,Bareilly,바레일리
이탈리아,Bari,바리
오스트레일리아,Barimunya,바리문야
베네수엘라,Barinas,바리나스
말레이시아,Bario,바리오
방글라데시,Barisal,바리살
미국,Paducah,파두카
미국,Bossier City,보지어 시티
러시아,Barnaul,바르나울
미국,Hyannis,하이애니스
영국,Barra,바라
브라질,Barra do Garcas,바하 두 가르사스
브라질,Barreiras,바헤이라스
브라질,Barreirinhas,바헤이리냐스
오스트레일리아,Barrow Island,배로섬
미국,Barter Island,바터섬
미국,Jonesboro,존스보로
베네수엘라,Puerto Cabello,푸에르토카베요
브라질,Campos dos Goytacazes,캄포스 두스 고이타카제스
콩고 민주공화국,Kiri,키리
콩고 민주공화국,Basankusu,바산쿠수
필리핀,Basco,바스코
이라크,Basra,바스라
시리아,Latakia,라타키아
프랑스,Bastia,바스티아
적도 기니,Bata,바타
러시아,Batagay,바타가이
오스트레일리아,Batchelor,배칠러
인도,Bathinda,바틴다
부탄,Jakar,자카르
오스트레일리아,Bathurst,배서스트
캐나다,Bathurst,배서스트
오스트레일리아,Bathurst Island,배서스트섬
키르기스스탄,Batken,바트켄
터키,Batman,바트만
알제리,Batna,바트나
미국,Baton Rouge,배턴 루지
노르웨이,Batsfjord,바츠피오르드
스리랑카,Batticaloa,바티칼로아
인도네시아,Batu Licin,바투 리친
조지아,Batumi,바투미
솔로몬 제도,Batuna,바투나
나이지리아,Bauchi,바우치
바누아투,Port Vila,포트빌라
브라질,Bauru,바우루
인도네시아,Bawean,바웨안
카자흐스탄,Bayanaul,바야나울
몽골,Bayankhongor,바양홍고르
중국,Bayannur,바옌나오얼
러시아,Baykit,바이키트
중국,Bazhong,바중
캐나다,Bearskin Lake,베어스킨 레이크
미국,Beaufort County,뷰포트 카운티
프랑스,Beauvais,보베
미국,Beaver,비버
오스트레일리아,Bedourie,베두리
캐나다,Bedwell Harbour,베드웰 하버
러시아,Nizhnekamsk,니즈네캄스크
인도,Hyderabad,하이데라바드
중국,Beihai,베이하이
중국,Beijing,베이징
중국,Beijing,베이징
중국,Beijing,베이징
모잠비크,Beira,베이라
레바논,Beirut,베이루트
포르투갈,Beja,베자
러시아,Belaya Gora,벨라야 고라
브라질,Belem,벨렝
영국,Belfast,벨파스트
인도,Belgaum,벨가움
러시아,Belgorod,벨고로드
세르비아,Belgrade,베오그라드
벨리즈,Belize City,벨리즈시티
캐나다,Bella Bella,벨라 벨라
캐나다,Bella Coola,벨라 쿨라
인도,Bellary,벨라리
미국,Bellingham,벨링햄
솔로몬 제도,Bellona Island,벨로나섬
브라질,Belo Horizonte,벨루오리존치
마다가스카르,Belo sur Tsiribihina,벨로쉬르치리비히나
러시아,Beloyarsky,벨로야르스키
미국,Bemidji,베미지
미국,Evadale,에버데일
이스라엘,Tel Aviv,텔아비브
모로코,Ben Slimane,벤 슬리마네
파키스탄,Islamabad,이슬라마바드
영국,Benbecula,벤베큘라
소말리아,Bosaso,보사소
오스트레일리아,Bendigo,벤디고
브라질,Macae,마카에
중국,Bengbu,벙부
앙골라,Benguela,벵겔라
콩고 민주공화국,Beni,베니
모로코,Beni Mellal,베니멜랄
나이지리아,Benin City,베냉시티
리비아,Benghazi,벵가지
콜롬비아,Neiva,네이바
푸에르토리코,Culebra,쿨레브라
파푸아뉴기니,Bensbach,벤스바크
스리랑카,Bentota,벤토타
소말리아,Berbera,베르베라
캐나다,Berens River,베렌스 리버
노르웨이,Bergen,베르겐
프랑스,Bergerac,베르주라크
노르웨이,Berlevag,베를레보그
독일,Berlin,베를린
스위스,Bern,베른
미국,Butte,뷰트
카메룬,Bertoua,베르투아
브라질,Sorocaba,소로카바
키리바시,Beru Island,베루섬
러시아,Beryozovo,베료조보
마다가스카르,Besalampy,베살람피
러시아,Vladikavkaz,블라디카프카즈
미국,Bethel,베델
인도네시아,Baubau,바우바우
태국,Betong,베통
미국,Bettles,베틀스
프랑스,Beziers,베지에
네팔,Bhadrapur Chandragadi,바드라푸르 찬드라가디
미얀마,Bhamo,바모
네팔,Bharatpur,바라트푸르
인도,Bhavnagar,바브나가르
네팔,Bhojpur,보지푸르
인도,Bhuj,부지
일본,Obihiro,오비히로
터키,Tokat,토카트
미국,Toksook Bay,톡숙 베이
일본,Tokunoshima,도쿠노시마
일본,Tokushima,도쿠시마
마다가스카르,Tolanaro,톨라나로
미국,Toledo,털리도
마다가스카르,Toliara,톨리아라
러시아,Novosibirsk,노보시비르스크
베네수엘라,Ciudad BolIvar,시우다드 볼리바르
온두라스,Tegucigalpa,테구시갈파
중국,Tonghua,퉁화
중국,Tongliao,퉁랴오
바누아투,Tongoa,통고아
중국,Tongren,퉁런
오스트레일리아,Toowoomba,투움바
오스트레일리아,Toowoomba,투움바
미국,Topeka,토피카
캐나다,Toronto,토론토
노르웨이,Oslo,오슬로
바누아투,Torres Islands,토레스 제도
브라질,Torres,토히스
스웨덴,Torsby,토르스뷔
이탈리아,Tortoli,토르톨리
코스타리카,Tortuguero,토르투게로
몽골,Tosontsengel,토송첸겔
프랑스령 폴리네시아,Totegegie,토테게기에
일본,Tottori,돗토리
뉴칼레도니아,Touho,투오
프랑스,Toulon,툴롱
프랑스,Toulouse,툴루즈
프랑스,Toulouse,툴루즈
프랑스,Tours,투르
아이티,Port-au-Prince,포르토프랭스
오스트레일리아,Townsville,타운즈빌
일본,Toyama,도야마
튀니지,Tozeur,토죄르
터키,Trabzon,트라브존
캐나다,Trail,트레일
태국,Trang,뜨랑
태국,Trat,뜨랏
바하마,Treasure Cay,트레저 케이
미국,Trenton,트렌턴
오스트레일리아,Trepell,트레펠
브라질,Tres Coracoes,트레스 코라송이스
콜롬비아,Puerto AsIs,푸에르토 아시스
이탈리아,Treviso,트레비소
미국,Pasco,파스코
미국,Tri-City,트라이시티
미국,Huntington,헌팅턴
네팔,Kathmandu,카트만두
이탈리아,Trieste,트리에스테
리비아,Tripoli,트리폴리
인도,Thiruvananthapuram,티루바난타푸람
캐나다,Trois-Rivieres,트루아 리비에르
스웨덴,TrollhAttan-VAnersborg,트롤헤탄-베네르스보리
노르웨이,Tromso,트롬쇠
노르웨이,Trondheim,트론헤임
프랑스,Troyes,트루아
미국,Truckee,트러키
온두라스,Trujillo,트루히요
인도네시아,Trunojoyo,트루노조요
콩고 민주공화국,Tshikapa,치카파
마다가스카르,Tsiroanomandidy,치로아노만디디
일본,Tsushima,쓰시마
인도네시아,Pasir Pangaraian,파시르 판가라이안
파나마,Tubala,투발라
프랑스령 폴리네시아,Tubuai,투부아이
미국,Tucson,투손
브라질,TucuruI,투쿠루이
파푸아뉴기니,Tufi,투피
필리핀,Tablas Island,타블라스 섬
필리핀,Tuguegarao,투게가라오
캐나다,Tuktoyaktuk,툭토약툭
루마니아,Tulcea,툴체아
캐나다,Tulita,툴리타
미국,Tulsa,털사
미국,Tuluksak,툴룩삭
멕시코,Tulum,툴룸
인도네시아,Tumbang Samba,툼방 삼바
네팔,Tumlingtar,툼링타르
중국,Tumxuk,툼수크
인도네시아,Cilacap,칠라찹
미국,Tunica,투니카
튀니지,Tunis,튀니스
러시아,Yaroslavl,야로슬라블
미국,Tuntutuliak,툰투툴리악
미국,Tununak,투누나크
미국,Tupelo,투펠로
파나마,Tupile,투필레
사우디아라비아,Turaif,투라이프
파키스탄,Turbat,투르바트
프랑스령 폴리네시아,Tureia,투레아
이탈리아,Turin,토리노
투르크메니스탄,Trkmenabat,투르크메나바트
투르크메니스탄,TrkmenbaSy,투르크멘바시
핀란드,Turku,투르쿠
중국,Turpan,투르판
러시아,Turukhansk,투루한스크
미국,Tuscaloosa,터스컬루사
인도,Tuticorin,투티코린
뉴질랜드,Chatham Islands,채텀 제도
보스니아 헤르체고비나,Tuzla,투즐라
미국,Haven,헤이븐
미국,Twin Hills,트윈 힐스
미국,Tyler,타일러
러시아,Tynda,틴다
미국,Panama City,파나마 시티
태국,Utapao,우따빠오
프랑스령 폴리네시아,Ua Huka,우아 후카
프랑스령 폴리네시아,Ua Pou,우아 포우
리비아,Ubari,우바리
브라질,Ubatuba,우바투바
태국,Ubon Ratchathani,우본랏차타니
태국,Udon Thani,우돈타니
러시아,Ufa,우파
미국,Ugashik,우가쉬크
러시아,Anadyr,아나디르
앙골라,UIge,우이게
마샬 군도,Ujae Island,우자에 섬
러시아,Ukhta,우흐타
케냐,Ukunda,우쿤다
몽골,Ulaangom,울란곰
중국,Ulanhot,울란호트
중국,Ulanqab,울란차부
솔로몬 제도,Arona,아로나
바누아투,Ulei,울레이
대한민국,Ulsan,울산
캐나다,Ulukhaktok,울루칵톡
남아프리카,Ulundi,울룬디
남아프리카,Ulusaba,울루사바
러시아,Ulyanovsk,울리야놉스크
러시아,Ulyanovsk,울리야놉스크
우크라이나,Uman,우만
브라질,Armacao dos BUzios,아르마상 두스 부지우스
이탈리아,Perugia,페루자
스웨덴,Umea,우메오
캐나다,Umiujaq,우미우자크
브라질,Una,우나
미국,Unalakleet,우날라클리트
미국,DutchHarb,더치하버
미국,Champaign,샴페인
미국,Oxford,옥스퍼드
그린란드,Upernavik,우페르나빅
남아프리카,Upington,우핑턴
중국,Urad Middle Banner,우라드 중부 기
캐나다,Uranium City,유레늄 시티
러시아,Uray,우라이
우즈베키스탄,Urgench,우르겐치
이란,Urmia,우르미아
솔로몬 제도,Atoifi,아토이피
중국,Urumqi,우루무치
카자흐스탄,Urzhar,우르자르
터키,USak,우샤크
카자흐스탄,Usharal,우샤랄
아르헨티나,Ushuaia,우수아이아
브라질,Ipatinga,이파칭가
러시아,Usinsk,우신스크
러시아,Ust-Ilimsk,우스티일림스크
러시아,Ust-Kut,우스티쿠트
러시아,UstKuyga,우스티쿠이가
러시아,Ust-Maya,우스티마야
러시아,UstNera,우스티네라
러시아,Ust-Tsilma,우스티칠마
파나마,Ustupo,우스투포
파나마,Ustupo,우스투포
온두라스,Utila,우틸라
마샬 군도,Utirik Atoll,우티릭 아톨
인도,Utkela,우트켈라
그린란드,Uummannaq,우마나크
러시아,Makhachkala,마하치칼라
볼리비아,Uyuni,우유니
우크라이나,Uzhhorod,우지호로드
세르비아,Serbia,세르비아
앤티가 바부다,Antigua,앤티가
핀란드,Vaasa,바사
체코,Prague,프라하
인도,Vadodara,바도다라
노르웨이,Vadso,바드쇠
노르웨이,Vaeroy,베뢰위
페로제도,FaroeIs,페로 제도
프랑스령 폴리네시아,Vahitahi,바히타히
브라질,Belem,벨렘
캐나다,ValdOr,발도르
미국,Valdez,발데즈
미국,Valdosta,발도스타
브라질,Valenca,발렌사
스페인,Valencia,발렌시아
바누아투,Valesdir,발레스디르
스페인,Valladolid,바야돌리드
아르헨티나,Villa de Merlo,비야 데 메를로
칠레,Vallenar,바예나르
미국,Harlingen,할링겐
베트남,QuangNinh,꽝닌
터키,Van,반
미국,Los Angeles,로스앤젤레스
러시아,Vanavara,바나바라
세인트키츠네비스,Nevis,네비스
캐나다,Vancouver,밴쿠버
캐나다,Vancouver,밴쿠버
파푸아뉴기니,Vanimo,바니모
바누아투,Sola,솔라
피지,Vanua Balavu,바누아 발라부
노르웨이,Vardo,바르되
핀란드,Varkaus,바르카우스
불가리아,Varna,바르나
통가,Vavau,바바우
스웨덴,VAxj,벡셰
인도,Port Blair,포트블레어
인도,Jharsuguda,자르수구다
러시아,Veliky Ustyug,벨리키 우스튜그
인도,Vellore,벨로레
러시아,Velsk,벨스크
미국,Franklin,프랭클린
미국,Venetie,베네티
이탈리아,Venice,베네치아
미국,Venice,베니스
멕시코,Monclova,몬클로바
러시아,Verkhnevliyuy,베르흐네빌리우이
미국,Danville,댄빌
미국,Vernal,버널
미국,Vero Beach,베로 비치
이탈리아,Verona,베로나
아이슬란드,Vestmannaeyja,베스트만나에이야르
아르헨티나,Santiago del Estero,산티아고 델 에스테로
나이지리아,Uyo,우요
짐바브웨,Victoria Falls,빅토리아 폭포
캐나다,Victoria,빅토리아
캐나다,Victoria,빅토리아
미국,Victoria,빅토리아
인도,Vidyanagar,비드야나가르
오스트리아,Vienna,빈
이탈리아,Vieste,비에스테
필리핀,Vigan,비간
스페인,Vigo,비고
포르투갈,Vila Real,빌라 헤알
브라질,Vila Rica,빌라 히카
모잠비크,Vilankulo,빌란쿨로
스웨덴,Vilhelmina,빌헬미나
브라질,Vilhena,빌헤나
콜롬비아,Villagarzon,비야가르손
아르헨티나,Villa Gesell,비야 헤셀
몰디브,Maamigili,마아미길리
아르헨티나,Villa Mercedes,비야 메르세데스
리투아니아,Vilnius,빌뉴스
쿠바,Cayo Largo del Sur,카요 라르고 델 수르
러시아,Vilyuysk,빌류이스크
칠레,Vina del Mar,비냐델마르
이탈리아,Trapani,트라파니
베트남,Vinh,빈
케냐,Vipingo,비핑고
필리핀,Virac,비라크
브라질,Sao Paulo,상파울루
영국령 버진아일랜드,Virgin Gorda,버지니아 고르다
남아프리카,Virginia,버지니아
미국,Abingdon,아빙던
볼리비아,Santa Cruz de la Sierra,산타 크루스 데 라 시에라
인도,Visakhapatnam,비사카파트남
미국,Visalia,비살리아
스웨덴,Visby,비스뷔
포르투갈,Viseu,비제우
벨라루시,Vitebsk,비쳅스크
스페인,Vitoria-Gasteiz,비토리아 가스테이스
러시아,Vladivostok,블라디보스토크
러시아,Moscow,모스크바
체코,Prague,프라하
케냐,Voi,보이
러시아,Volgograd,볼고그라드
러시아,Vologda,볼로그다
아이슬란드,Vopnafjordur,보프나피외르뒤르
러시아,Vorkuta,보르쿠타
러시아,Voronezh,보로네시
러시아,Voronezh,보로네시
피지,Kadavu,카다부
미국,Battle Creek,배틀 크릭
가나,Wa,와
캐나다,Wabush,와부시
미국,Waco,웨이코
