question,slots,intent_list
수하물 무게,"{""luggage_term"": [""수하물""], ""rule_type"": ""무게""}","[""baggage_rule_query""]"
수하물 크기,"{""luggage_term"": [""수하물""], ""rule_type"": ""크기""}","[""baggage_rule_query""]"
수하물 금지,"{""luggage_term"": [""수하물""], ""rule_type"": ""금지 품목""}","[""baggage_rule_query""]"
수하물 허용,"{""luggage_term"": [""수하물""]}","[""baggage_rule_query""]"
반입 금지 물품,"{""rule_type"": ""금지 품목""}","[""baggage_rule_query""]"
안녕하세요,{},"[""default_greeting""]"
반가워요,{},"[""default_greeting""]"
도와주세요,{},"[""default_greeting""]"
안녕,{},"[""default_greeting""]"
도와줘,{},"[""default_greeting""]"
챗봇,{},"[""default_greeting""]"
처음입니다,{},"[""default_greeting""]"
출국장,"{""area"": ""departure"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
출국장 예측,"{""area"": ""departure"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
출국장 혼잡도,"{""area"": ""departure"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장""], ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
출국장 미래,"{""area"": ""departure"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
출국장 승객,"{""area"": ""departure"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""출국장""]}","[""airport_congestion_prediction""]"
출국 절차,{},"[""immigration_policy""]"
출국 심사,{},"[""immigration_policy""]"
반출 금지,{},"[""immigration_policy""]"
출국,{},"[""immigration_policy""]"
여권 발급,{},"[""immigration_policy""]"
편의시설 안내,"{""facility_name"": [""편의시설""]}","[""facility_guide""]"
약국,"{""facility_name"": [""약국""]}","[""facility_guide""]"
은행,"{""facility_name"": [""은행""]}","[""facility_guide""]"
환전소,"{""facility_name"": [""환전소""]}","[""facility_guide""]"
식당가,"{""facility_name"": [""식당""]}","[""facility_guide""]"
카페,"{""facility_name"": [""카페""]}","[""facility_guide""]"
흡연실,"{""facility_name"": [""흡연실""]}","[""facility_guide""]"
기도실,"{""facility_name"": [""기도실""]}","[""facility_guide""]"
유아휴게실 위치,"{""facility_name"": [""유아휴게실""]}","[""facility_guide""]"
어린이 놀이시설,"{""facility_name"": [""어린이 놀이시설""]}","[""facility_guide""]"
화장실,"{""facility_name"": [""화장실""]}","[""facility_guide""]"
면세점,"{""facility_name"": [""면세점""]}","[""facility_guide""]"
식당,"{""facility_name"": [""식당""]}","[""facility_guide""]"
흡연실,"{""facility_name"": [""흡연실""]}","[""facility_guide""]"
라운지,"{""facility_name"": [""라운지""]}","[""facility_guide""]"
상업 시설,{},"[""facility_guide""]"
음식점,{},"[""facility_guide""]"
카페,"{""facility_name"": [""카페""]}","[""facility_guide""]"
편의 시설,"{""facility_name"": [""편의시설""]}","[""facility_guide""]"
시설,{},"[""facility_guide""]"
셔틀버스,"{""facility_name"": [""셔틀버스""]}","[""facility_guide""]"
항공편,{},"[""flight_info""]"
게이트,{},"[""flight_info""]"
항공편 터미널,{},"[""flight_info""]"
운항 정보,{},"[""flight_info""]"
항공편 정보,{},"[""flight_info""]"
출발 시간,"{""area"": ""departure""}","[""flight_info""]"
도착 시간,"{""area"": ""arrival""}","[""flight_info""]"
항공편 지연,"{""flight_status"": ""지연""}","[""flight_info""]"
항공편 결항,"{""flight_status"": ""결항""}","[""flight_info""]"
운항 스케줄,{},"[""flight_info""]"
주차장 현황,"{""parking_lot"": [""주차장"", ""주차"", ""주차장 현황""]}","[""parking_availability_query""]"
주차 가능,"{""availability_status"": ""가능"", ""parking_lot"": [""주차""]}","[""parking_availability_query""]"
주차 공간,"{""parking_lot"": [""주차"", ""주차 공간""]}","[""parking_availability_query""]"
만차 여부,"{""availability_status"": ""만차""}","[""parking_availability_query""]"
주차장 이용,"{""parking_lot"": [""주차장"", ""주차"", ""주차장 이용""]}","[""parking_availability_query""]"
주차장,"{""parking_lot"": [""주차장"", ""주차""]}","[""parking_availability_query""]"
주차장 이따가,"{""vague_time"": ""이따가"", ""parking_lot"": ""주차장"", ""time"": ""이따가""}","[""parking_congestion_prediction""]"
주차장 혼잡도,"{""parking_lot"": ""주차장""}","[""parking_congestion_prediction""]"
주말 주차장,"{""parking_lot"": ""주차장""}","[""parking_congestion_prediction""]"
연휴 주차장,"{""parking_lot"": ""주차장""}","[""parking_congestion_prediction""]"
주차장 예측,"{""parking_lot"": ""주차장""}","[""parking_congestion_prediction""]"
주차장 미래,"{""parking_lot"": ""주차장""}","[""parking_congestion_prediction""]"
주차 요금,"{""fee_topic"": [""주차 요금"", ""요금""]}","[""parking_fee_info""]"
주차비,"{""fee_topic"": [""주차비""]}","[""parking_fee_info""]"
주차 요금 할인,"{""fee_topic"": [""주차 요금"", ""주차 요금 할인"", ""요금""]}","[""parking_fee_info""]"
주차 요금 결제,"{""fee_topic"": [""주차 요금"", ""주차 요금 결제"", ""요금""]}","[""parking_fee_info""]"
요금,"{""fee_topic"": [""요금""]}","[""parking_fee_info""]"
주차 할인,"{""fee_topic"": [""주차 할인""]}","[""parking_fee_info""]"
주차 감면,"{""fee_topic"": [""주차 감면""]}","[""parking_fee_info""]"
주차 비용,"{""fee_topic"": [""주차비"", ""주차 비용""]}","[""parking_fee_info""]"
주차장 추천,"{""parking_lot"": ""주차장""}","[""parking_location_recommendation""]"
가까운 주차장,"{""parking_lot"": ""주차장""}","[""parking_location_recommendation""]"
저렴한 주차장,"{""relative_time"": ""1주"", ""parking_lot"": ""주차장""}","[""parking_location_recommendation""]"
장기 주차장,"{""parking_lot"": ""장기주차장"", ""parking_type"": ""장기""}","[""parking_location_recommendation""]"
단기 주차장,"{""parking_lot"": ""단기주차장"", ""parking_type"": ""단기""}","[""parking_location_recommendation""]"
주차장 위치,"{""parking_lot"": ""주차장""}","[""parking_location_recommendation""]"
주차장 거리,"{""parking_lot"": ""주차장""}","[""parking_location_recommendation""]"
주차장 터미널,"{""parking_lot"": ""주차장""}","[""parking_location_recommendation""]"
도보,{},"[""parking_walk_time_info""]"
도보 시간,{},"[""parking_walk_time_info""]"
도보 거리,{},"[""parking_walk_time_info""]"
주차장 도보,"{""parking_lot"": ""주차장""}","[""parking_walk_time_info""]"
주차장 카운터 도보,"{""parking_lot"": ""주차장""}","[""parking_walk_time_info""]"
정기 운항,{},"[""regular_schedule_query""]"
정기 항공편,{},"[""regular_schedule_query""]"
매일 운항,{},"[""regular_schedule_query""]"
정기 운항 시간,{},"[""regular_schedule_query""]"
정기 스케줄,{},"[""regular_schedule_query""]"
환승 정보,{},"[""transfer_info""]"
환승 절차,{},"[""transfer_info""]"
환승 시간,{},"[""transfer_info""]"
환승객,{},"[""transfer_info""]"
환승,{},"[""transfer_info""]"
환승 심사,{},"[""transfer_info""]"
환승 경로,{},"[""transfer_route_guide""]"
환승 방법,{},"[""transfer_route_guide""]"
셔틀트레인,{},"[""transfer_route_guide""]"
환승 게이트,{},"[""transfer_route_guide""]"
셔틀,{},"[""transfer_route_guide""]"
환승,{},"[""transfer_route_guide""]"
공항 정보,{},"[""airport_info""]"
공항 코드,{},"[""airport_info""]"
공항 이름,{},"[""airport_info""]"
공항 위치,{},"[""airport_info""]"
어느 나라,{},"[""airport_info""]"
주차장,"{""parking_lot"": [""주차장"", ""주차""]}","[""parking_availability_query""]"
시설,{},"[""facility_guide""]"
주차장 도보시간,"{""parking_lot"": ""주차장""}","[""parking_walk_time_info""]"
도보시간,{},"[""parking_walk_time_info""]"
세관,{},"[""baggage_rule_query""]"
주차할 곳,{},"[""parking_location_recommendation""]"
주차,{},"[""parking_location_recommendation""]"
정기,{},"[""regular_schedule_query""]"
정기편,{},"[""regular_schedule_query""]"
주차할,"{""parking_lot"": [""주차""]}","[""parking_availability_query""]"
주차료,"{""fee_topic"": [""주차료""]}","[""parking_fee_info""]"
