question,slots,intent_list
가루다 항공 마크 가 궁금해요,"{""airline_name"": ""가루다항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
가루다 항공 에 전화하려면 어디 로 해야 하나요,"{""airline_name"": ""가루다항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
가루다 항공 의 본사 는 어디 인가요,"{""airline_name"": ""가루다항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
각 항공사 의 로고 이미지 를 볼 수 있나요,"{""airline_info"": [""로고"", ""이미지"", ""항공사"", ""항공""]}","[""airline_info_query""]"
각 항공사 의 인천공항 번호 를 한눈 에 볼 수 있나요,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
국내 항공사,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
국외 항공사,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
대한항공,"{""airline_name"": ""대한항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
스타얼라이언스 소속 항공사 는 어떤 것 들 이 있나요,"{""airline_name"": ""스타얼라이언스"", ""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
아시아나,"{""airline_name"": ""아시아나""}","[""airline_info_query""]"
아시아나 항공,"{""airline_name"": ""아시아나 항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
에어부산,"{""airline_name"": ""에어부산""}","[""airline_info_query""]"
에어 서울,"{""airline_name"": ""에어서울""}","[""airline_info_query""]"
인도네시아 행 항공사 로 가루다 말고 또 있나요,"{""airport_name"": ""인도네시아"", ""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
인천공항 기준 항공사 전체 알려주세요,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
인천공항 출발 항공사 전체 리스트 보여줄 수 있나요,"{""area"": ""departure"", ""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
인천공항 항공사 전체 명단 확인 하고 싶어요,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
인천공항 에 어떤 항공사 들 이 취항 하고 있나요,"{""airline_info"": [""취항"", ""항공사"", ""항공""]}","[""airline_info_query""]"
인천공항 에 있는 항공사 전체 알려줄래요,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
인천공항 에 취항 하는 저가 항공사 LCC 는 어떤 것 들 이 있나요,"{""airline_info"": [""취항"", ""항공사"", ""항공""]}","[""airline_info_query""]"
인천공항 에 취항 하는 항공사 전체 목록 을 보여주세요,"{""airline_info"": [""취항"", ""항공사"", ""항공""]}","[""airline_info_query""]"
인천공항 에서 FDX 는 무슨 항공사 인가요,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
인천공항 에서 FX 항공 은 주로 언제 운항 되나요,"{""airline_info"": [""항공""]}","[""airline_info_query""]"
인천공항 에서 KLM 네덜란드 항공 이용 할 수 있나요,"{""airline_name"": ""KLM"", ""airport_name"": ""네덜란드"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
인천공항 에서 운영 중인 모든 항공사 를 알려줘,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
인천공항 에서 취항 하는 항공사 종류 를 알 고 싶습니다,"{""airline_info"": [""취항"", ""항공사"", ""항공""]}","[""airline_info_query""]"
인천공항 을 이용 하는 항공사 목록 이 궁금해요,"{""airline_info"": [""항공사"", ""항공사 목록"", ""항공""]}","[""airline_info_query""]"
인천공항 의 KL 항공사 연락처 는 어떻게 되나요,"{""airline_info"": [""항공사 연락처"", ""항공사"", ""항공""]}","[""airline_info_query""]"
인천 국제공항 이용 가능한 항공사 목록 알려주세요,"{""airline_info"": [""항공사"", ""항공사 목록"", ""항공""]}","[""airline_info_query""]"
제주항공,"{""airline_name"": ""제주항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
지금 인천공항 에서 이용 가능한 항공사 들 은 뭐 가 있나요,"{""vague_time"": ""지금"", ""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
진에어,"{""airline_name"": ""진에어""}","[""airline_info_query""]"
진에어 고객 센터 연락처 를 알려주세요,"{""airline_name"": ""진에어""}","[""airline_info_query""]"
티웨이,"{""airline_name"": ""티웨이""}","[""airline_info_query""]"
항공사,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 검색,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 고객 센터,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 리스트,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 목록,"{""airline_info"": [""항공사"", ""항공사 목록"", ""항공""]}","[""airline_info_query""]"
항공사 문의,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 번호,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 안내,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 어디서 확인 해,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 연락처,"{""airline_info"": [""항공사 연락처"", ""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 위치,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 이름,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 전화번호,"{""airline_info"": [""항공사 전화번호"", ""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 정보,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 정보 알려줘,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 조회,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 찾기,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 코드,"{""airline_info"": [""항공사 코드"", ""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 코드 GIA 는 어디 항공사 인가요,"{""airline_info"": [""항공사 코드"", ""항공사"", ""항공""]}","[""airline_info_query""]"
항공사 명,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
항공 사별 위치,"{""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
대한항공 에 전화하고 싶은데 전화번호 알려줘,"{""airline_name"": ""대한항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
아시아나 항공 고객 센터 연락처 가 어떻게 되나요,"{""airline_name"": ""아시아나 항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
제주항공 에 문의 할 게 있는데 연락처 좀 알려주세요,"{""airline_name"": ""제주항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
티웨이항공 고객 센터 전화번호 좀 알려줄 수 있나요,"{""airline_name"": ""티웨이항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
진에어 고객 센터 는 몇 번 으로 전화해야 하나요,"{""airline_name"": ""진에어""}","[""airline_info_query""]"
에어 서울 연락처 를 찾고 있어요,"{""airline_name"": ""에어서울""}","[""airline_info_query""]"
에어부산 고객 센터 번호 는 요,"{""airline_name"": ""에어부산""}","[""airline_info_query""]"
스타얼라이언스 에 연락 하고 싶은데 전화번호 가 뭔가 요,"{""airline_name"": ""스타얼라이언스""}","[""airline_info_query""]"
스카이팀 고객 센터 에 연락 하려면 어떻게 해야 하나요,"{""airline_name"": ""스카이팀""}","[""airline_info_query""]"
루프트한자 항공사 에 연락 할 수 있는 방법 은 요,"{""airline_name"": ""루프트한자"", ""airline_info"": [""항공사"", ""항공""]}","[""airline_info_query""]"
싱가포르항공 고객 서비스 연락처 가 궁금해요,"{""airline_name"": ""싱가포르항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
핀에어 에 문의 할 게 있는데 고객 센터 전화번호 알려주세요,"{""airline_name"": ""핀에어""}","[""airline_info_query""]"
에어프랑스 고객 센터 에 어떻게 연락 하나요,"{""airline_name"": ""에어프랑스""}","[""airline_info_query""]"
대한항공 에 전화 문의 하고 싶어요,"{""airline_name"": ""대한항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
아시아나 항공 고객 센터 전화번호 를 알 고 싶어요,"{""airline_name"": ""아시아나 항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
제주항공 연락처 가 필요해요,"{""airline_name"": ""제주항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
티웨이항공 고객 상담 전화번호 알려주세요,"{""airline_name"": ""티웨이항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
진에어 에 전화하려면 어디 로 해야 하나요,"{""airline_name"": ""진에어""}","[""airline_info_query""]"
에어 서울 고객 센터 전화번호 는 뭐 예요,"{""airline_name"": ""에어서울""}","[""airline_info_query""]"
에어부산 에 연락 하고 싶어요,"{""airline_name"": ""에어부산""}","[""airline_info_query""]"
대한항공 고객 지원 팀 연락처 를 알려주세요,"{""airline_name"": ""대한항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
아시아나 항공 고객 센터 는 몇 시 부터 몇 시 까지 운영 해요,"{""airline_name"": ""아시아나 항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
제주항공 전화번호 좀 알려주실래요,"{""airline_name"": ""제주항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
티웨이항공 고객 센터 에 전화하면 상담사 와 연결 될까 요,"{""airline_name"": ""티웨이항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
진에어 에 궁금한 게 있는데 어디 로 연락 해야 하나요,"{""airline_name"": ""진에어""}","[""airline_info_query""]"
에어 서울 고객 서비스 전화번호 부탁드립니다,"{""airline_name"": ""에어서울""}","[""airline_info_query""]"
에어부산 고객 센터 운영 시간 알려줘,"{""airline_name"": ""에어부산""}","[""airline_info_query""]"
대한항공 고객 센터 에 전화하고 싶은데 전화번호 를 못 찾겠어요,"{""airline_name"": ""대한항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
아시아나 항공 에 문의 할 게 있어서 전화번호 가 필요해요,"{""airline_name"": ""아시아나 항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
제주항공 에 전화해서 예약 변경 을 하고 싶어요,"{""airline_name"": ""제주항공"", ""airline_info"": [""항공""]}","[""airline_info_query""]"
내일 공항 1 층 에 사람 많을까,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
공항 1 층 에 사람 많을거 같아,"{""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
1시간 뒤 에 공항 에 얼마나 사람 이 있을까,"{""relative_time"": ""1시간 뒤"", ""is_daily"": false, ""date_type"": ""today"", ""hour"": 1, ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오후 에 공항 1 층 사람 이 얼마나 있을까,"{""time_period"": ""오후"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
이따가 공항 에 도착 하는데 입구 에 사람 들 많을까,"{""area"": ""arrival"", ""vague_time"": ""이따가"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
이따가 공항 게이트 에 가는데 사람 들 많겠지,"{""vague_time"": ""이따가"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 오후 에 사람 이 가장 적은 게이트 가 어디 야,"{""date"": ""내일"", ""time_period"": ""오후"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 사람 이 제일 적은 체크 인 카운터 어딜 까,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
이따가 사람 이 제일 적게 몰리는 1 층 카운터 가 어딜 까,"{""vague_time"": ""이따가"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
이따가 가장 사람 이 적은 1 층 게이트 가 어디 야,"{""vague_time"": ""이따가"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
조금 뒤 에 사람 이 많은 1 층 게이트 는 어디 야,"{""vague_time"": ""조금 뒤"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
조금 뒤 에 사람 이 적은 1 층 게이트 를 알려줄래,"{""vague_time"": ""조금 뒤"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
조금 뒤 에 도착 하는데 사람 이 적은 1 층 게이트 를 알려줘,"{""area"": ""arrival"", ""vague_time"": ""조금 뒤"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
조금 뒤 에 공항 1 층 에서 사람 이 가장 적은 곳 을 알려줘,"{""vague_time"": ""조금 뒤"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
공항 1 층 에서 사람 이 가장 적은 게이트 는 이따가 어디 야,"{""vague_time"": ""이따가"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
몇 시간 뒤 에 공항 1 층 상황 을 알려줘,"{""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 전체 공항 혼잡 도를 알려줄래,"{""date"": ""오늘"", ""is_daily"": true, ""time_range"": ""합계"", ""date_type"": ""today"", ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
오늘 공항 혼잡 도를 알려줘,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
오늘 공항 혼잡 도 는 어때,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
오늘 공항 에 사람 얼마나 있어,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 공항 어느 시간대 가 가장 붐벼,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 공항 이 얼마나 붐벼,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 공항 상황 이 궁금해,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 공항 에 얼마나 많은 사람 이 있을까,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 공항 사람 들 은 얼마나 있을거 같아,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 공항 인파 상황 좀 알려줄래,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 인파 가 어떻게 될지 알려줘,"{""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 공항 에 인파 가 얼마나 몰릴까,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 공항 1 층 얼마나 붐빌까,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
이따가 공항 1 층 사람 얼마나 있을까,"{""vague_time"": ""이따가"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 공항 1 층 에 사람 얼마나 있을까,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 사람 많겠지,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 사람 많아,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 사람 얼마나 있어,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 공항 에 사람 많겠지,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 공항 에 사람 얼마나 있을까,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 공항 상황 을 알려줘,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
내일 공항 인파 를 알려줘,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
내일 입국 장 상황 을 알려줘,"{""area"": ""arrival"", ""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
내일 공항 상황 좀 알려줄래,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
내일 공항 에 사람 얼마나 있을지 알려줘,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 사람 많겠지,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
사람 많겠지 거기,"{""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
거기 사람 많아,"{""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
거기 사람 많습니까,"{""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
사람 얼마나 있어,"{""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
이따가 사람 많아,"{""vague_time"": ""이따가"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
이따가 사람 많겠지,"{""vague_time"": ""이따가"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 사람 많아,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 공항 상황 어떨거 같아,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
내일 공항 상황 어때,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
공항 상황 어떻게 될 거 같아,"{""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 상황 이 어떻게 될까,"{""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 상황 예측 해봐,"{""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
공항 상황 알려줄래,"{""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
앞 으로 공항 에 사람 이 어떻게 될까,"{""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 입국 하는 사람 많아,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 입국 자 많지,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 입국 자 들 어때,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 입국 장 붐벼,"{""area"": ""arrival"", ""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
오늘 입국 장 북 적거려,"{""area"": ""arrival"", ""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
입국 장 사람 많을거 같아,"{""area"": ""arrival"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""], ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
입국 장 어떨거 같아,"{""area"": ""arrival"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
입국 장 내일 어떻거 같아,"{""area"": ""arrival"", ""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
입국 장 오늘 어떨거 같아,"{""area"": ""arrival"", ""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""areas"": [""입국장""]}","[""airport_congestion_prediction""]"
곧 도착 인데 공항 상황 어때,"{""area"": ""arrival"", ""vague_time"": ""곧"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
내일 도착 인데 공항 상황 생각 해봐,"{""area"": ""arrival"", ""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
내일 공항 상태 알려줘,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
내일 혼잡 도 알려줘,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""congestion_keywords"": [""혼잡도"", ""혼잡""]}","[""airport_congestion_prediction""]"
내일 상황 알려줘,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
내일 공항 붐비는 시간대 가 언제 야,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow"", ""congestion_keywords"": [""붐비""]}","[""airport_congestion_prediction""]"
오늘 몇 시 쯤 공항 이 제일 한산할까,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
곧 공항 가는데 입구 혼잡할까,"{""vague_time"": ""곧"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""혼잡""]}","[""airport_congestion_prediction""]"
오후 늦게 공항 에 가면 괜찮을까,"{""time_period"": ""오후"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 공항 대기 줄 길까,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
지금 공항 붐비고 있어,"{""vague_time"": ""지금"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""붐비""]}","[""airport_congestion_prediction""]"
공항 1 층 입장 줄 길어,"{""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 공항 사람 몰리는 구역 이 어디 야,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 공항 은 평소 보다 사람 이 많을까,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
내일 공항 에 가려면 몇 시가 제일 여유 로 울까,"{""date"": ""내일"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
방금 공항 다녀온 사람 들 많았어,"{""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""사람""]}","[""airport_congestion_prediction""]"
오늘 아침 공항 많이 붐볐을까,"{""date"": ""오늘"", ""time_period"": ""아침"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 공항 상황 심각해,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 공항 혼잡한 구간 피하 려면 어떻게 해야 해,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today"", ""congestion_keywords"": [""혼잡""]}","[""airport_congestion_prediction""]"
내일 새벽 공항 은 여유 로 울까,"{""date"": ""내일"", ""time_period"": ""새벽"", ""is_daily"": false, ""date_type"": ""tomorrow""}","[""airport_congestion_prediction""]"
곧 공항 에 도착 할 건데 북적 일까 걱정 돼,"{""area"": ""arrival"", ""vague_time"": ""곧"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오늘 점심시간 대 공항 분위기 는 어때,"{""date"": ""오늘"", ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
오후 3시 쯤 공항 상태 가 어떤지 알 수 있어,"{""time_period"": ""오후"", ""hour"": 3, ""is_daily"": false, ""date_type"": ""today""}","[""airport_congestion_prediction""]"
