intent,question
arrival_congestion_query,공항 입국장 시설 운영에 영향 줬나요
arrival_congestion_query,인천공항 입국장 사람 얼마나 몰렸나요
arrival_congestion_query,입국장 라인 대기시간도 알 수 있나요
arrival_congestion_query,입국장 혼잡한 곳 알려주실래요
arrival_congestion_query,공항 입국장 상태 알려주는 웹이 있나요
arrival_congestion_query,입국장 들어가기 전에 상황 파악할 수 있나요
arrival_congestion_query,입국장 인파 많이 몰린 곳 있나요
arrival_congestion_query,지금 입국장 입장 대기 얼마나 걸리나요
arrival_congestion_query,입국장 밀집도 낮은 쪽 알려줄래요
arrival_congestion_query,인천공항 입국장 현재 정체 구간 있나요
arrival_congestion_query,입국장 라인별 혼잡도 비교할 수 있나요
arrival_congestion_query,지금 입국장 주변 소란스러워요
arrival_congestion_query,인천공항 입국장 소란도 심한가요
arrival_congestion_query,입국장 줄 흐름 원활한가요
arrival_congestion_query,실시간 입국장 상황 요약해줄래요
arrival_congestion_query,입국장 들어가는 길 상태 알려주세요
arrival_congestion_query,입국장 상황 모바일로 확인 가능한가요
arrival_congestion_query,입국장 상황 화면으로 어디서 볼 수 있죠
arrival_congestion_query,공항 입국장 내부 참 비좁나요
arrival_congestion_query,입국장 줄 흐름 얼마나 느린가요
arrival_congestion_query,입국장 내부에 인파 몰렸나요
arrival_congestion_query,지금 입국장 사람들이 흩어져 있나요
arrival_congestion_query,입국장 게이트 앞 밀집도 얼마나 돼요
arrival_congestion_query,인천공항 입국장 많은 줄 서 있나요
arrival_congestion_query,입국장 출입하기 전에 정보 주시나요
arrival_congestion_query,지금 입국장 내부 상황은 어떤가요
arrival_congestion_query,입국장에 붐비는 구역이 있는지 알려주세요
arrival_congestion_query,입국장 넘 붐비면 피해야 할까요
arrival_congestion_query,인천공항 입국장 상황 지금 괜찮나요
arrival_congestion_query,입국장 데이터 실시간으로 받아볼 수 있나요
arrival_congestion_query,공항 입국장 줄 많이 생겼나요
arrival_congestion_query,입국장 상황 빨리 확인할 수 있어요
arrival_congestion_query,입국장 혼잡도 실시간 숫자로 확인할래요
arrival_congestion_query,입국장 들어가면 어떤 상태인가요
arrival_congestion_query,인천공항 입국장 정체 현황 알려주세요
arrival_congestion_query,입국장 밀집도 바로 확인할 수 있어요
arrival_congestion_query,공항 입국장 실시간 지표는 어디서 보나요
arrival_congestion_query,입국장 줄길이 영상으로 볼 수 있나요
arrival_congestion_query,지금 입국장 정체 심한 구역 알려줘요
arrival_congestion_query,인천공항 입국장 기다리기 괜찮은가요
arrival_congestion_query,입국장 내부 어느 쪽이 덜 붐비나요
arrival_congestion_query,입국장 바로 앞 혼잡 정도 알려주세요
arrival_congestion_query,입국장 주변 공간 얼마나 여유 있어요
arrival_congestion_query,인천공항 입국장 줄 관련 정보 알려주세요
arrival_congestion_query,입국장 대기 구역이 넓나요
arrival_congestion_query,입국장 상황 실시간 비교해줘요
arrival_congestion_query,입국장 실시간 현황 차트 있나요
arrival_congestion_query,지금 입국장 영상 중계 있나요
arrival_congestion_query,인천공항 입국장 상황 데이터 어디서 받을 수 있죠
arrival_congestion_query,입국장 지금 보기에 어떤 상태예요
arrival_congestion_query,입국장 상태 급하게 확인하고 싶어요
arrival_congestion_query,입국장 줄 너무 길면 알람 받을 수 있나요
arrival_congestion_query,입국장 주변에서 기다리는 게 나을까요
arrival_congestion_query,입국장 상황 실시간 알림 있나요
arrival_congestion_query,입국장 내부 꿀팁 있는 시간대 알려줘요
arrival_congestion_query,입국장 상태 오늘 어떨 것 같아요
arrival_congestion_query,입국장 정보 빠르게 받을 수 있나요
arrival_congestion_query,입국장 실시간 API로 확인 가능해요
arrival_congestion_query,입국장 복잡도 실시간으로 보낼 수 있나요
arrival_congestion_query,입국장 상태 시스템으로 확인 가능합니까
arrival_congestion_query,입국장 내부 정체 상황 바로 알려주세요
arrival_congestion_query,입국장 지나가기 어려울 정도인가요
arrival_congestion_query,입국장 라인 상태 빨리 알려주세요
arrival_congestion_query,입국장 상태 간략히 요약해줘요
arrival_congestion_query,입국장 정체 정도 알려주는 서비스 있나요
arrival_congestion_query,입국장 상황 지금 모니터링 가능해요
arrival_congestion_query,인천공항 입국장 공간 얼마나 널널한가요
arrival_congestion_query,입국장 내부 인파 정도 알려줘요 입국장 상황 실시간으로 들을 수 있나요
arrival_congestion_query,입국장 많이 붐비면 어떻게 해요
arrival_congestion_query,입국장 사람 다 들어갈 수 있나요
arrival_congestion_query,입국장 라인 흐름 빨라요
arrival_congestion_query,입국장 현재 불편할 길거리인가요
arrival_congestion_query,입국장 상황 알려주는 알람 설정할 수 있나요
arrival_congestion_query,입국장 상황 지금 어때요 좀 알려주세요 지금 입국장 상황 확인 빨리 해줘요 입국장 지금 몰려드는 사람 많나요
arrival_congestion_query,인천공항 입국장 실황 모니터링 돼요
arrival_congestion_query,입국장 혼잡도 정보 API로 받을 수 있나요
arrival_congestion_query,입국장 상태 지금은 어떤지 보고 싶어요 입국장 줄 서 있는 인원 얼마나 될까요
arrival_congestion_query,공항 입국장 지금 인파 많나요
arrival_congestion_query,입국장 내부 상황 즉시 알려주세요 인천공항 입국장 상태 실시간으로 받을 수 있나요
arrival_congestion_query,입국장 얼마나 바쁜지 알려주세요 지금 입국장 얼마나 정체됐나요
arrival_congestion_query,입국장 상태 한 줄 요약으로 알려줘요 입국장 정체 수치로 알 수 있나요
arrival_congestion_query,입국장 상황 간단히 설명해줘요 입국장 상태 확인하려면 어떻게 해요
arrival_congestion_query,인천공항 입국장 지금 줄 긴가요
arrival_congestion_query,입국장 상황 얼마나 자주 업데이트 되나요
arrival_congestion_query,입국장 상태 지금 확인 가능한 상태인가요
arrival_congestion_query,인천공항 1층 지금 많이 붐비나요
arrival_congestion_query,인천공항 1층 사람 많은가요
arrival_congestion_query,오늘 1층 입국장 북적이나요
arrival_congestion_query,1터미널 1층 입국장 혼잡한가요
arrival_congestion_query,지금 인천 2터미널 1층 상황 어때요
arrival_congestion_query,2터미널 1층 입국장 얼마나 붐비나요
arrival_congestion_query,1층 입국장 들어갈 때 시간 오래 걸릴까요
arrival_congestion_query,1층 입국장 줄 긴가요
arrival_congestion_query,1층으로 도착했는데 입국장 대기 시간 어때요
arrival_congestion_query,1층 입국장에서 빠르게 나올 수 있을까요
arrival_congestion_query,인천공항 1층 지금 줄 길어요
arrival_congestion_query,지금 1층 입국장 대기 시간 확인할 수 있나요
arrival_congestion_query,1터미널 1층 입국장 몇 분 걸릴까요
arrival_congestion_query,2터미널 1층 얼마나 걸려서 나오죠
arrival_congestion_query,1층 입국장 통과 시간 알려주세요
arrival_congestion_query,오늘 1층 입국장 줄 길이 어때요
arrival_congestion_query,인천 1층 입국장 북적거리나요
arrival_congestion_query,1층 입국장 이용객 많나요
arrival_congestion_query,1층 입국장 얼마나 기다려야 해요
arrival_congestion_query,1층 입국장에서 시간 얼마나 걸려요
arrival_congestion_query,지금 1층 입국장 여유 있나요
arrival_congestion_query,1터미널 1층에서 나오는 데 오래 걸리나요
arrival_congestion_query,1층 입국장 대기줄 심한가요
arrival_congestion_query,입국장 1층 붐빔 상태 알려주세요
arrival_congestion_query,1터미널 1층 오늘 얼마나 혼잡하죠
arrival_congestion_query,입국장 1층 입장 속도 빠른가요
arrival_congestion_query,1층 입국장에서 시간 얼마나 지체되나요
arrival_congestion_query,지금 1층에서 얼마나 걸릴까요
arrival_congestion_query,인천공항 1층 입국장 줄 긴가요
arrival_congestion_query,1층 입국장 얼마나 붐벼요
arrival_congestion_query,1층 입국장 대기인원 알려주세요
arrival_congestion_query,입국장 1층 상황 실시간으로 알려줘
arrival_congestion_query,인천공항 1층 지금 입국시간 길어요
arrival_congestion_query,1터미널 입국장 1층 혼잡도는요
arrival_congestion_query,입국장 1층 사람들이 몰려 있나요
arrival_congestion_query,오늘 인천공항 1층 입국장 어떻습니까
arrival_congestion_query,입국장 1층 시간 얼마나 지연되나요
arrival_congestion_query,1층 입국장 이용자 수 알려줄래요
arrival_congestion_query,지금 1층 입국장 쾌적한가요
arrival_congestion_query,인천공항 1층 입국장 얼마나 밀려있어요
arrival_congestion_query,입국장 1층 통과 시간 짧나요
arrival_congestion_query,입국장 1층 얼마나 지체되죠
arrival_congestion_query,1터미널 입국장 1층 줄이 긴가요
arrival_congestion_query,지금 1층 입국장 혼잡해요
arrival_congestion_query,1층 입국장 상황 어때 보여요
arrival_congestion_query,1터미널 1층 사람 꽉 찼어요
arrival_congestion_query,인천공항 입국장 위치 1층 맞죠 많이 붐비나요
arrival_congestion_query,입국장 1층 통과에 몇 분 걸리나요
arrival_congestion_query,입국장 1층 줄 얼마나 대기하죠
arrival_congestion_query,입국장 1층 오늘 상태 어때요
arrival_congestion_query,입국장 1층 시간 얼마나 걸리는지 알려줘요
arrival_congestion_query,입국장 1층 입장 빠르게 되나요
arrival_congestion_query,입국장 1층 대기시간 얼마나 되나요
arrival_congestion_query,1층 입국장 통과 오래 걸리나요
arrival_congestion_query,인천공항 1층 입국장 줄 서 있나요
arrival_congestion_query,입국장 1층 사람이 많은 편인가요
arrival_congestion_query,인천공항 1층 입국장 상태 알려주세요
arrival_congestion_query,지금 입국장 1층 들어가기 괜찮을까요
arrival_congestion_query,입국장 1층 혼잡도 체크해 주세요
arrival_congestion_query,입국장 1층 사람이 몰려있나요
arrival_congestion_query,1층 입국장 얼마나 기다려야 돼요
arrival_congestion_query,입국장 1층 이용객 현황 볼 수 있나요
arrival_congestion_query,1층 입국장 줄 얼마나 긴가요
arrival_congestion_query,입국장 1층 인원수 실시간으로 보여줘요
arrival_congestion_query,입국장 1층 통과시간 얼마나 지연되나요
arrival_congestion_query,입국장 1층 줄이 얼마나 밀려있죠
arrival_congestion_query,1층 입국장이 지금 붐비나요
arrival_congestion_query,인천공항 1층 입국장 사람 많아요
arrival_congestion_query,제1터미널 1층 입국장 지금 얼마나 혼잡해요
arrival_congestion_query,1터미널 1층 도착장 상황 알려주세요
arrival_congestion_query,2터미널 1층 입국장 대기시간이 궁금해요
arrival_congestion_query,오늘 1층 입국장 줄 길어요
arrival_congestion_query,인천공항 1층 입국장 통과 시간 얼마나 걸려요
arrival_congestion_query,입국장 혼잡도 알려주세요 1층 도착할 예정입니다
arrival_congestion_query,1층 입국장이 붐비면 출구까지 얼마나 걸릴까요
arrival_congestion_query,지금 1층 입국장은 어느 정도 혼잡하죠
arrival_congestion_query,T1 1층 입국장 상황 알려주세요
arrival_congestion_query,T2의 1층 입국장이 오늘 어떨까요
arrival_congestion_query,제1터미널 1층 도착장 붐벼요
arrival_congestion_query,제2터미널 1층 입국장에 지금 줄 서 있나요
arrival_congestion_query,T1 1층 도착장 혼잡 시간대가 어떻게 돼요
arrival_congestion_query,107 게이트로 도착하면 1층 입국장 붐비나요
arrival_congestion_query,대한항공 타고 1층 입국장 도착 예정인데 상황이
arrival_congestion_query,1층 입국장 게이트 근처가 혼잡한가요
arrival_congestion_query,비행기 도착 시간 기준으로 1층 입국장 상태 알려주세요
arrival_congestion_query,1층 도착 게이트별 혼잡도 정보 있나요
arrival_congestion_query,1층 입국장 내국인 대기시간이 긴가요
arrival_congestion_query,외국인 입국자는 1층에서 줄 오래 서나요
arrival_congestion_query,내국인외국인 어디서 더 오래 기다리나요
arrival_congestion_query,외국인 대기줄이 1층 입국장에서 어느 정도인가요
arrival_congestion_query,인천공항 도착했는데 1층 입국장 지금 괜찮나요
arrival_congestion_query,1층 입국장 대기시간 좀 알려주세요
arrival_congestion_query,입국 심사 1층에서 받는데 줄이 엄청 길어요 왜 그런가요
arrival_congestion_query,1층 도착장 통과 얼마나 기다려야 하나요
arrival_congestion_query,1층 입국장이 붐비는 이유가 있나요
arrival_congestion_query,인천 1층 입국장 통과시간 얼마에요
arrival_congestion_query,1층 입국장 내국인 줄은 빨리 빠지나요
arrival_congestion_query,2터미널 입국장 1층 대기 많나요
arrival_congestion_query,입국장 1층 혼잡도 실시간 정보 주세요
arrival_congestion_query,입국장 1층 줄 서야 하나요
arrival_congestion_query,입국 게이트 쪽 들어가는 거 막혔나요
arrival_congestion_query,입국 게이트 대기줄 한눈에 볼 수 있나요
arrival_congestion_query,입국장 입구에서 줄 서 있나요
arrival_congestion_query,입국장 들어가려면 얼마나 기다려야 하나요
arrival_congestion_query,입국장 내부 정체 얼마나 심해요
arrival_congestion_query,공항 1층 들어가는 길에 줄 많이 서있나요
arrival_congestion_query,입국장 들어서기 전에 얼마나 기다려야 하나요
arrival_congestion_query,지금 입국장 혼잡도 지표 있나요
arrival_congestion_query,입국 게이트 전반적으로 붐비나요
arrival_congestion_query,인천공항 입국장 상황변화가 있나요
arrival_congestion_query,현재 입국장 입구 주변 얼마나 혼잡해요
arrival_congestion_query,입국장 통행량 지금 어느 수준인가요
arrival_congestion_query,지금 입국장 내부 좀 알려주시겠어요
arrival_congestion_query,입국장 상태 웹으로 볼 수 있나요
arrival_congestion_query,입국장 정체 심하면 대기 멀어질까요
arrival_congestion_query,입국장 줄이랑 대기시간 같이 볼 수 있나요
arrival_congestion_query,입국장 입구 앞 혼잡도 알려줘요
arrival_congestion_query,인천공항 입국장 과연 붐비나요
arrival_congestion_query,입국장 내부 상황 사진 볼 수 있나요
arrival_congestion_query,입국장 얼마나 혼잡한지 수치로 보고 싶어요
arrival_congestion_query,입국장 게이트별 실시간 혼잡도 제공되나요
arrival_congestion_query,인천공항 1층 입국장 혼잡도 실시간으로 볼 수 있나요
arrival_congestion_query,2터미널 1층 사람 얼마나 있나요
arrival_congestion_query,1층 입국장 지금 빨리 빠질 수 있나요
arrival_congestion_query,입국장 1층 줄 길이 얼마나 되나요
departure_congestion_prediction,오늘 오전 7시 1터미널 AB 입국장 얼마나 붐빌까요
departure_congestion_prediction,내일 아침 8시 2터미널 입국장 혼잡도 좀 알려주세요
departure_congestion_prediction,오늘 오후 1시 1터미널 EF 입국장에 사람 엄청 많을까요
departure_congestion_prediction,내일 저녁 6시 2터미널 B 입국장 상황 어때요 좀 한가할까요
departure_congestion_prediction,오늘 오전 10시 인천공항 입국장 전체 다 복잡할까요
departure_congestion_prediction,내일 1터미널 입국장은 언제 제일 사람 많을 것 같아요
departure_congestion_prediction,오늘 오후 3시 1터미널 C 입국장에 얼마나 올까요
departure_congestion_prediction,내일 새벽 1시 2터미널 전체 입국장 엄청 조용하겠죠
departure_congestion_prediction,오늘 오전 9시 1터미널 D 입국장에 몇 명이나 있을까요
departure_congestion_prediction,내일 오후 7시 1터미널 EF 입국장 많이 막힐까요
departure_congestion_prediction,오늘 오후 5시 2터미널 A 입국장에 사람 좀 있나요
departure_congestion_prediction,내일 오전 11시 1터미널 전체 입국장 현황 좀 봐주세요
departure_congestion_prediction,오늘 밤 10시 인천공항 입국장 많이 기다려야 해요
departure_congestion_prediction,내일 오후 4시 2터미널 입국장 총 몇 명쯤 들어올까요
departure_congestion_prediction,오늘 오후 2시 1터미널 AB 입국장 지금 어떤가요
departure_congestion_prediction,내일 아침 6시 1터미널 C 입국장 붐빌까 봐 걱정돼요
departure_congestion_prediction,오늘 정오 12시 2터미널 B 입국장에 예상 인원수가 어떻게 돼요
departure_congestion_prediction,내일 밤 8시 1터미널 D 입국장 많이 분주할까요
departure_congestion_prediction,오늘 아침 8시 인천공항 모든 입국장 상황 알려주세요
departure_congestion_prediction,내일 밤 9시 1터미널 전체 입국장은 얼마나 붐빌까요
departure_congestion_prediction,오늘 오후 6시 1터미널 EF 입국장에 도착하는 사람 몇 명이에요
departure_congestion_prediction,내일 새벽 3시 2터미널 입국장은 한산하겠죠
departure_congestion_prediction,오늘 오전 7시 1터미널 D 입국장 예측 인원 좀 알려주세요
departure_congestion_prediction,내일 오후 5시 1터미널 AB 입국장은 평소랑 비슷할까요
departure_congestion_prediction,오늘 오후 4시 2터미널 A 입국장에 사람 많이 몰리나요
departure_congestion_prediction,내일 오후 1시 1터미널 입국장 전체 얼마나 혼잡할까요
departure_congestion_prediction,오늘 밤 11시 인천공항 입국장에 사람 많을까요
departure_congestion_prediction,내일 밤 10시 2터미널 입국장 총 예상 인원이 궁금해요
departure_congestion_prediction,오늘 오후 3시 1터미널 EF 입국장 상황 좀 알려줘
departure_congestion_prediction,내일 오전 5시 1터미널 C 입국장 혼잡도 예상 좀 해주세요
departure_congestion_prediction,오늘 오전 10시 2터미널 B 입국장에 사람이 얼마나 될까요
departure_congestion_prediction,내일 오후 6시 1터미널 D 입국장 괜찮을까요
departure_congestion_prediction,오늘 오전 9시 인천공항 입국장 전반적으로 어때요
departure_congestion_prediction,내일 오후 7시 1터미널 전체 입국장 인원 수 좀 봐주세요
departure_congestion_prediction,오늘 오후 1시 1터미널 C 입국장에 사람 많나요
departure_congestion_prediction,내일 새벽 2시 2터미널 입국장은 한가한 편인가요
departure_congestion_prediction,오늘 오후 2시 1터미널 AB 입국장 예상 승객수 알려줘
departure_congestion_prediction,내일 오전 8시 1터미널 EF 입국장 복잡할까요
departure_congestion_prediction,오늘 오후 5시 2터미널 B 입국장에 사람 많을까요
departure_congestion_prediction,내일 오전 9시 1터미널 입국장 전체적으로 어때요
departure_congestion_prediction,오늘 밤 9시 인천공항 입국장 많이 북적일까요
departure_congestion_prediction,내일 오후 3시 2터미널 입국장 총 인원 얼마나 될까요
departure_congestion_prediction,오늘 오전 11시 1터미널 D 입국장 예상 혼잡도 어때요
departure_congestion_prediction,내일 오전 4시 1터미널 C 입국장에 사람 거의 없겠죠
departure_congestion_prediction,오늘 오후 1시 2터미널 A 입국장에 얼마나 올 것 같아요
departure_congestion_prediction,내일 밤 10시 1터미널 EF 입국장 혼잡할까요
departure_congestion_prediction,오늘 아침 6시 인천공항 입국장 전체적으로 어떤가요
departure_congestion_prediction,내일 밤 11시 1터미널 전체 입국장 얼마나 올까요
departure_congestion_prediction,오늘 오후 7시 1터미널 AB 입국장에 사람 많아요
departure_congestion_prediction,내일 새벽 4시 2터미널 입국장은 정말 한산하겠네요
departure_congestion_prediction,오늘 오전 8시 1터미널 C 입국장 예상 인원 부탁해요
departure_congestion_prediction,내일 오후 2시 1터미널 D 입국장 괜찮을까요
departure_congestion_prediction,오늘 오후 3시 2터미널 B 입국장에 사람 얼마나 될까요
departure_congestion_prediction,내일 오전 10시 1터미널 입국장 다 합쳐서 몇 명이에요
departure_congestion_prediction,오늘 밤 12시 인천공항 입국장 많이 붐빌까요
departure_congestion_prediction,내일 오후 12시 2터미널 입국장 총 인원수 좀 봐주세요
departure_congestion_prediction,오늘 오후 4시 1터미널 EF 입국장 혼잡할 것 같아요
departure_congestion_prediction,내일 오전 6시 1터미널 AB 입국장 사람 좀 있나요
departure_congestion_prediction,오늘 오전 9시 2터미널 A 입국장 얼마나 붐빌까요
departure_congestion_prediction,내일 밤 8시 1터미널 C 입국장 예상 인원 좀요
departure_congestion_prediction,오늘 오전 7시 인천공항 입국장 전반적인 혼잡도 어때요
departure_congestion_prediction,내일 밤 9시 1터미널 전체 입국장 상황 알려주세요
departure_congestion_prediction,오늘 오후 2시 1터미널 D 입국장에 얼마나 올까요
departure_congestion_prediction,내일 새벽 1시 2터미널 입국장은 정말 조용할까요
departure_congestion_prediction,오늘 오전 10시 1터미널 EF 입국장 예상 혼잡도 좀요
departure_congestion_prediction,내일 오후 5시 1터미널 C 입국장은 괜찮을까요
departure_congestion_prediction,오늘 오후 1시 2터미널 B 입국장에 사람 많을까요
departure_congestion_prediction,내일 오전 11시 1터미널 입국장 전체 얼마나 복잡할까요
departure_congestion_prediction,오늘 밤 10시 인천공항 입국장 사람 많겠죠
departure_congestion_prediction,내일 오후 4시 2터미널 입국장 전체적으로 몇 명이에요
departure_congestion_prediction,오늘 오후 3시 1터미널 AB 입국장 예상 혼잡도 어때요
departure_congestion_prediction,내일 오전 5시 1터미널 D 입국장 얼마나 한가할까요
departure_congestion_prediction,오늘 오후 12시 2터미널 A 입국장에 사람 좀 있나요
departure_congestion_prediction,내일 오후 6시 1터미널 EF 입국장 혼잡도 궁금해요
departure_congestion_prediction,오늘 오전 8시 인천공항 입국장 상황 좀 알려주세요
departure_congestion_prediction,내일 오후 7시 1터미널 입국장 총 예상 인원수는요
departure_congestion_prediction,오늘 오후 1시 1터미널 AB 입국장에 얼마나 올까요
departure_congestion_prediction,내일 새벽 3시 2터미널 입국장 한산한가요
departure_congestion_prediction,오늘 오후 2시 1터미널 C 입국장 몇 명 예상돼요
departure_congestion_prediction,내일 오전 8시 1터미널 D 입국장 괜찮을까요
departure_congestion_prediction,오늘 오후 5시 2터미널 A 입국장에 사람 많을 것 같아요
departure_congestion_prediction,내일 오전 9시 1터미널 입국장 전체적으로 어떤가요
departure_congestion_prediction,오늘 밤 9시 인천공항 입국장은 얼마나 붐빌까요
departure_congestion_prediction,내일 오후 3시 2터미널 입국장 총 인원 수 알려주세요
departure_congestion_prediction,오늘 오전 11시 1터미널 EF 입국장 혼잡도 좀요
departure_congestion_prediction,내일 오전 4시 1터미널 AB 입국장 사람 거의 없겠죠
departure_congestion_prediction,오늘 오후 1시 2터미널 B 입국장에 얼마나 들어올까요
departure_congestion_prediction,내일 밤 10시 1터미널 C 입국장 혼잡할까요
